------------------------------OpenMP------------------------
integrate_omp_seq
         T	      Time	    Result	  Speedup
         6	   4.28122	  0.666667	  0.529227
         7	   4.92992	  0.666667	   0.45959
         8	   5.14398	  0.666667	  0.440465
         9	   2.80217	  0.666667	  0.808566
        10	   3.85117	  0.666667	  0.588326
        11	   3.01269	  0.666667	  0.752066
        12	   3.11449	  0.666667	  0.727484
        13	   3.37654	  0.666667	  0.671025
        14	   3.48134	  0.666667	  0.650824
        15	   3.44479	  0.666667	  0.657729
        16	   6.09949	  0.666667	  0.371464
        17	   8.75845	  0.666667	  0.258692
        18	   12.8512	  0.666667	  0.176306
        19	   17.4562	  0.666667	  0.129796
        20	   14.8726	  0.666667	  0.152343
        21	   9.90439	  0.666667	  0.228761
        22	   10.5367	  0.666667	  0.215034
        23	   19.4921	  0.666667	  0.116239
        24	   15.6007	  0.666667	  0.145234
        25	    18.005	  0.666667	  0.125839
        26	   10.6938	  0.666667	  0.211874
        27	   17.9057	  0.666667	  0.126537
        28	   11.4157	  0.666667	  0.198476
        29	   12.8839	  0.666667	  0.175858
        30	   13.0634	  0.666667	  0.173442
        31	   11.2726	  0.666667	  0.200995
        32	   20.9975	  0.666667	  0.107905
        33	   17.6309	  0.666667	   0.12851
        34	   14.5606	  0.666667	  0.155608
        35	   13.7009	  0.666667	  0.165372
        36	   14.7392	  0.666667	  0.153722
        37	   14.1857	  0.666667	   0.15972
        38	    14.891	  0.666667	  0.152155
        39	    21.391	  0.666667	   0.10592
        40	   13.2774	  0.666667	  0.170647
        41	   19.2786	  0.666667	  0.117526
        42	   21.1157	  0.666667	  0.107301
        43	   20.6014	  0.666667	   0.10998
        44	    15.971	  0.666667	  0.141866
        45	   18.7111	  0.666667	   0.12109
        46	    20.166	  0.666667	  0.112354
        47	   16.3289	  0.666667	  0.138757
        48	   20.0323	  0.666667	  0.113104
integrate_omp_atomic
         T	      Time	    Result	  Speedup
         1	   1.90091	  0.666667	         1
         2	  0.719436	  0.666667	   2.64222
         3	  0.842951	  0.666667	   2.25506
         4	  0.622677	  0.666667	    3.0528
         5	  0.502493	  0.666667	   3.78295
         6	  0.440319	  0.666667	   4.31711
         7	  0.275488	  0.666667	   6.90013
         8	  0.226899	  0.666667	   8.37775
         9	  0.184558	  0.666667	   10.2998
        10	  0.157194	  0.666667	   12.0927
        11	  0.127745	  0.666667	   14.8805
        12	  0.114493	  0.666667	   16.6028
        13	  0.107758	  0.666667	   17.6405
        14	 0.0994326	  0.666667	   19.1175
        15	 0.0930475	  0.666667	   20.4294
        16	 0.0882407	  0.666667	   21.5423
        17	 0.0823173	  0.666667	   23.0924
        18	 0.0778838	  0.666667	   24.4069
        19	 0.0740592	  0.666667	   25.6674
        20	 0.0704542	  0.666667	   26.9807
        21	 0.0671113	  0.666667	   28.3247
        22	 0.0642202	  0.666667	   29.5998
        23	 0.0615352	  0.666667	   30.8913
        24	 0.0771525	  0.666667	   24.6383
        25	  0.109251	  0.666667	   17.3995
        26	  0.100494	  0.666667	   18.9157
        27	 0.0869752	  0.666667	   21.8557
        28	 0.0761848	  0.666667	   24.9512
        29	 0.0675636	  0.666667	   28.1351
        30	 0.0599075	  0.666667	   31.7307
        31	 0.0567693	  0.666667	   33.4847
        32	 0.0502737	  0.666667	   37.8111
        33	 0.0488448	  0.666667	   38.9172
        34	 0.0437777	  0.666667	   43.4217
        35	 0.0426693	  0.666667	   44.5498
        36	 0.0402582	  0.666667	   47.2179
        37	 0.0398469	  0.666667	   47.7053
        38	 0.0389364	  0.666667	   48.8208
        39	 0.0380433	  0.666667	   49.9668
        40	 0.0372796	  0.666667	   50.9905
        41	 0.0365888	  0.666667	   51.9532
        42	 0.0359386	  0.666667	   52.8932
        43	  0.035055	  0.666667	   54.2264
        44	 0.0345912	  0.666667	   54.9535
        45	 0.0340211	  0.666667	   55.8742
        46	 0.0333278	  0.666667	   57.0366
        47	 0.0327211	  0.666667	   58.0942
        48	 0.0320474	  0.666667	   59.3155
integrate_omp_for
         T	      Time	    Result	  Speedup
         1	   3.37894	  0.666667	         1
         2	   8.71444	  0.666667	   0.38774
         3	   8.21262	  0.666667	  0.411432
         4	   12.6529	  0.666667	  0.267048
         5	   14.8065	  0.666667	  0.228206
         6	   15.2836	  0.666667	  0.221083
         7	   17.5961	  0.666667	  0.192028
         8	   19.4001	  0.666667	  0.174171
         9	   19.8236	  0.666667	  0.170451
        10	   17.3973	  0.666667	  0.194222
        11	   17.0743	  0.666667	  0.197896
        12	   17.7383	  0.666667	  0.190488
        13	   16.0856	  0.666667	  0.210059
        14	   16.7795	  0.666667	  0.201373
        15	   16.8721	  0.666667	  0.200268
        16	   16.5922	  0.666667	  0.203646
        17	   17.8309	  0.666667	    0.1895
        18	   17.4714	  0.666667	  0.193398
        19	   18.4843	  0.666667	  0.182801
        20	    18.015	  0.666667	  0.187562
        21	   18.8122	  0.666667	  0.179614
        22	   18.8464	  0.666667	  0.179288
        23	   18.8322	  0.666667	  0.179423
        24	   18.7931	  0.666667	  0.179796
        25	   19.1311	  0.666667	  0.176621
        26	   18.8758	  0.666667	  0.179009
        27	   18.8348	  0.666667	  0.179398
        28	    18.886	  0.666667	  0.178912
        29	   18.5675	  0.666667	  0.181981
        30	   18.4749	  0.666667	  0.182894
        31	   18.6408	  0.666667	  0.181266
        32	   18.6245	  0.666667	  0.181424
        33	   18.2249	  0.666667	  0.185402
        34	   18.4676	  0.666667	  0.182965
        35	   18.1523	  0.666667	  0.186144
        36	   18.1208	  0.666667	  0.186467
        37	   18.2712	  0.666667	  0.184932
        38	   18.0768	  0.666667	  0.186922
        39	   17.9996	  0.666667	  0.187723
        40	    18.159	  0.666667	  0.186075
        41	   17.4294	  0.666667	  0.193864
        42	   17.8422	  0.666667	  0.189379
        43	   17.6099	  0.666667	  0.191877
        44	   17.3867	  0.666667	   0.19434
        45	   17.3657	  0.666667	  0.194575
        46	   16.8332	  0.666667	  0.200731
        47	   16.6644	  0.666667	  0.202763
